id,Title,text,predicted_category,similarity,cluster,cluster_size,title_lc,is_priority,highlight_score
10,australia weather update: mothers day weather forecast | 9 news australia,"australia weather update: mothers day weather forecast | 9 news australia 

 nil",sports,0.4982103705406189,1,412,australia weather update: mothers day weather forecast | 9 news australia,False,412
11,"country music star johnny rodriguez has died, aged 73","country music star johnny rodriguez has died, aged 73 

 the star’s daughter told fans the sad news in an emotional farewell to her father.",music,0.4706980884075165,1,412,"country music star johnny rodriguez has died, aged 73",False,412
12,jamie melham goes back-to-back in the goodwood with victory on reserve bank ,"jamie melham goes back-to-back in the goodwood with victory on reserve bank  

 the champion jockey triumphed on reserve bank, 12 months after winning the morphettville feature on benedetta.",sports,0.5675159692764282,1,412,jamie melham goes back-to-back in the goodwood with victory on reserve bank ,True,1412
13,trump vs chinese: the unexpected victim of the tariff war that will (literally) blow up,"trump vs chinese: the unexpected victim of the tariff war that will (literally) blow up 

 nil",politics,0.4956328868865967,1,412,trump vs chinese: the unexpected victim of the tariff war that will (literally) blow up,True,1412
14,anyone for pope-eroni?,"anyone for pope-eroni? 

 nil",politics,0.5173894762992859,0,32,anyone for pope-eroni?,False,32
15,brownlow medal fancy zach merrett faces nervous wait after high shot during essendon’s win over sydney,"brownlow medal fancy zach merrett faces nervous wait after high shot during essendon’s win over sydney 

 the superstar will come under scrutiny for the incident that left his opponent needing a concussion test.",sports,0.5127261877059937,1,412,brownlow medal fancy zach merrett faces nervous wait after high shot during essendon’s win over sydney,False,412
16,"large rallies held protesting sexual violence, anger that crisis not properly addressed during election","large rallies held protesting sexual violence, anger that crisis not properly addressed during election 

 nil",politics,0.4028050899505615,1,412,"large rallies held protesting sexual violence, anger that crisis not properly addressed during election",True,1412
17,pakistan launches retaliatory strikes against india as conflict intensifies | abc news,"pakistan launches retaliatory strikes against india as conflict intensifies | abc news 

 nil",politics,0.4716787338256836,1,412,pakistan launches retaliatory strikes against india as conflict intensifies | abc news,False,412
18,"‘the right lane is faster’, and other thoughts i don’t appreciate in a traffic jam","‘the right lane is faster’, and other thoughts i don’t appreciate in a traffic jam 

 nil",politics,0.5473236441612244,1,412,"‘the right lane is faster’, and other thoughts i don’t appreciate in a traffic jam",False,412
19,tenant charged with murder after landlord allegedly stabbed to death,"tenant charged with murder after landlord allegedly stabbed to death 

 nil",politics,0.5689786672592163,1,412,tenant charged with murder after landlord allegedly stabbed to death,False,412
20,three men rescued after boat capsizes near geelong,"three men rescued after boat capsizes near geelong 

 nil",politics,0.5373591184616089,1,412,three men rescued after boat capsizes near geelong,False,412
21,family demands answers after woman hit by van,"family demands answers after woman hit by van 

 nil",politics,0.529390811920166,1,412,family demands answers after woman hit by van,False,412
22,melbourne man dies after jumping off boat in thailand,"melbourne man dies after jumping off boat in thailand 

 nil",lifestyle,0.5273427963256836,1,412,melbourne man dies after jumping off boat in thailand,False,412
23,moment gold coast arsonist lights van on fire,"moment gold coast arsonist lights van on fire 

 nil",sports,0.5604616403579712,1,412,moment gold coast arsonist lights van on fire,False,412
24,methanol poisoning survivor’s call for change,"methanol poisoning survivor’s call for change 

 nil",politics,0.5578349828720093,1,412,methanol poisoning survivor’s call for change,False,412
25,coalition powerbrokers prepare for leadership contests | 9 news australia,"coalition powerbrokers prepare for leadership contests | 9 news australia 

 nil",politics,0.407358855009079,1,412,coalition powerbrokers prepare for leadership contests | 9 news australia,False,412
26,man charged with murder after man’s death in sydney | 9 news australia,"man charged with murder after man’s death in sydney | 9 news australia 

 nil",sports,0.5250912308692932,1,412,man charged with murder after man’s death in sydney | 9 news australia,False,412
27,michael mosley’s son jack gives rare insight into his father almost one year since his tragic death in greece,"michael mosley’s son jack gives rare insight into his father almost one year since his tragic death in greece 

 mosley died on the greek island of symi, after an ill-fated walk.",music,0.561845064163208,1,412,michael mosley’s son jack gives rare insight into his father almost one year since his tragic death in greece,False,412
28,jaeman salmon reignites feud with ricky stuart after ‘weak-gutted dog’ celebration during bulldogs’ win over raiders,"jaeman salmon reignites feud with ricky stuart after ‘weak-gutted dog’ celebration during bulldogs’ win over raiders 

 the long-running stoush exploded again during the top-of-the-table clash.",sports,0.5169360637664795,1,412,jaeman salmon reignites feud with ricky stuart after ‘weak-gutted dog’ celebration during bulldogs’ win over raiders,False,412
29,chicago's catholics celebrate north america's first pope | abc news,"chicago's catholics celebrate north america's first pope | abc news 

 nil",politics,0.5188418626785278,0,32,chicago's catholics celebrate north america's first pope | abc news,False,32
30,man charged with murder after man’s death in sydney,"man charged with murder after man’s death in sydney 

 nil",politics,0.5518643856048584,1,412,man charged with murder after man’s death in sydney,False,412
31,pope leo xiv delivers first sermon as the catholic church's new leader | 9 news australia,"pope leo xiv delivers first sermon as the catholic church's new leader | 9 news australia 

 nil",politics,0.48512333631515503,0,32,pope leo xiv delivers first sermon as the catholic church's new leader | 9 news australia,False,32
32,gunman on the run after drive-by shooting in sydney | 9 news australia,"gunman on the run after drive-by shooting in sydney | 9 news australia 

 nil",sports,0.49577584862709045,1,412,gunman on the run after drive-by shooting in sydney | 9 news australia,False,412
33,pakistan retaliates after indian missile strikes | 9 news australia,"pakistan retaliates after indian missile strikes | 9 news australia 

 nil",politics,0.48104241490364075,1,412,pakistan retaliates after indian missile strikes | 9 news australia,False,412
34,four teens arrested over string of alleged carjackings in melbourne,"four teens arrested over string of alleged carjackings in melbourne 

 nil",music,0.5542442202568054,1,412,four teens arrested over string of alleged carjackings in melbourne,False,412
35,gunman on the run after shooting in sydney,"gunman on the run after shooting in sydney 

 nil",sports,0.5148579478263855,1,412,gunman on the run after shooting in sydney,False,412
36,coalition powerbrokers prepare for leadership contests,"coalition powerbrokers prepare for leadership contests 

 nil",politics,0.4011768698692322,1,412,coalition powerbrokers prepare for leadership contests,False,412
37,thousands rally against gender-based violence,"thousands rally against gender-based violence 

 nil",politics,0.4735978841781616,1,412,thousands rally against gender-based violence,False,412
38,world war ii hero honoured in military state funeral | 9 news australia,"world war ii hero honoured in military state funeral | 9 news australia 

 nil",politics,0.5017842650413513,1,412,world war ii hero honoured in military state funeral | 9 news australia,True,1412
39,india-pakistan latest; pope leo xiv delivers first mass | 9 news australia,"india-pakistan latest; pope leo xiv delivers first mass | 9 news australia 

 nil",politics,0.4587574601173401,0,32,india-pakistan latest; pope leo xiv delivers first mass | 9 news australia,False,32
40,judge temporarily blocks trump and musk’s administration overhaul,"judge temporarily blocks trump and musk’s administration overhaul 

 ‘the president may broadly restructure federal agencies only when authorised by congress’",politics,0.4779513478279114,1,412,judge temporarily blocks trump and musk’s administration overhaul,False,412
41,putin marks ww2 victory alongside xi as ukraine war continues | abc news,"putin marks ww2 victory alongside xi as ukraine war continues | abc news 

 nil",politics,0.4752717614173889,1,412,putin marks ww2 victory alongside xi as ukraine war continues | abc news,True,1412
42,thousands join military procession for funeral of western australia's last wwii pow,"thousands join military procession for funeral of western australia's last wwii pow 

 nil",politics,0.5446137189865112,1,412,thousands join military procession for funeral of western australia's last wwii pow,False,412
43,former socceroos boss graham arnold announced as new coach of iraq,"former socceroos boss graham arnold announced as new coach of iraq 

 it’s the 61-year-old’s first job since quitting as australia coach last september.",sports,0.5218244791030884,1,412,former socceroos boss graham arnold announced as new coach of iraq,False,412
44,catholics speculate as to how pope leo xiv will lead the church | abc news,"catholics speculate as to how pope leo xiv will lead the church | abc news 

 nil",politics,0.4877268970012665,0,32,catholics speculate as to how pope leo xiv will lead the church | abc news,False,32
45,petals of love: three million blooms for mums this mother’s day,"petals of love: three million blooms for mums this mother’s day 

 nil",music,0.528306782245636,1,412,petals of love: three million blooms for mums this mother’s day,False,412
46,brendan fevola and guy sebastian inspire struggling local team masala dandenong to stunning win,"brendan fevola and guy sebastian inspire struggling local team masala dandenong to stunning win 

 the afl great teamed up with an aussie pop star to help a struggling team end their 20-game losing streak.",sports,0.48666274547576904,1,412,brendan fevola and guy sebastian inspire struggling local team masala dandenong to stunning win,False,412
47,"no phones, lots of prayer: australian cardinal’s insight into secretive vatican conclave","no phones, lots of prayer: australian cardinal’s insight into secretive vatican conclave 

 nil",politics,0.5109413862228394,0,32,"no phones, lots of prayer: australian cardinal’s insight into secretive vatican conclave",False,32
48,women's wheelchair basketball faces uphill battle to qualify for 2032 paralympics | abc news,"women's wheelchair basketball faces uphill battle to qualify for 2032 paralympics | abc news 

 nil",sports,0.4686889350414276,1,412,women's wheelchair basketball faces uphill battle to qualify for 2032 paralympics | abc news,False,412
49,toxic algal bloom impacts multiple beaches across south australia | abc news,"toxic algal bloom impacts multiple beaches across south australia | abc news 

 nil",lifestyle,0.5181350708007812,1,412,toxic algal bloom impacts multiple beaches across south australia | abc news,False,412
50,aussie broadcaster erin holland forced to flee to dubai after being caught up in india-pakistan conflict,"aussie broadcaster erin holland forced to flee to dubai after being caught up in india-pakistan conflict 

 the cricket commentator is now waiting to come back to australia.",sports,0.48738235235214233,1,412,aussie broadcaster erin holland forced to flee to dubai after being caught up in india-pakistan conflict,False,412
51,sa mp nick mcbride appears in court over assault charges | abc news,"sa mp nick mcbride appears in court over assault charges | abc news 

 nil",sports,0.503180742263794,1,412,sa mp nick mcbride appears in court over assault charges | abc news,False,412
52,pakistan launches retaliatory strikes against india as tensions rise | abc news,"pakistan launches retaliatory strikes against india as tensions rise | abc news 

 nil",politics,0.45685556530952454,1,412,pakistan launches retaliatory strikes against india as tensions rise | abc news,False,412
53,"‘dumb, nasty’: mps unload on deputy pm","‘dumb, nasty’: mps unload on deputy pm 

 anthony albanese and his deputy richard marles have come under fire following the “nasty” treatment of two cabinet ministers.",politics,0.5299544334411621,1,412,"‘dumb, nasty’: mps unload on deputy pm",False,412
54,iconic radio host dies aged 58,"iconic radio host dies aged 58 

 legendary aussie community radio and music scene presenter paris pompor has died aged 58.",music,0.4744083881378174,1,412,iconic radio host dies aged 58,False,412
55,i want men to stop killing women' | abc news,"i want men to stop killing women' | abc news 

 nil",politics,0.4943486452102661,1,412,i want men to stop killing women' | abc news,False,412
56,‘no more’: protests rise against dv,"‘no more’: protests rise against dv 

 protesters are flooding capital cities across the nation demanding action to prevent domestic and family violence.",politics,0.512782633304596,1,412,‘no more’: protests rise against dv,False,412
57,melbourne coaches slammed as clayton oliver becomes a tagger in clash with hawthorn,"melbourne coaches slammed as clayton oliver becomes a tagger in clash with hawthorn 

 ‘just saw this and spat my coffee out.’",sports,0.5291235446929932,1,412,melbourne coaches slammed as clayton oliver becomes a tagger in clash with hawthorn,False,412
58,pope leo xiv’s close friend shares cheeky little-known story and praises his humility,"pope leo xiv’s close friend shares cheeky little-known story and praises his humility 

 father tony banks reveals a surprising side of the pontiff.",politics,0.5678773522377014,0,32,pope leo xiv’s close friend shares cheeky little-known story and praises his humility,False,32
59,international agencies criticise new us aid plan for gaza | abc news,"international agencies criticise new us aid plan for gaza | abc news 

 nil",politics,0.4827381372451782,1,412,international agencies criticise new us aid plan for gaza | abc news,False,412
60,first nations voters on the election result | abc news,"first nations voters on the election result | abc news 

 nil",politics,0.44601619243621826,1,412,first nations voters on the election result | abc news,True,1412
61,catholic leaders urge pope leo to visit australia for first time in over a decade,"catholic leaders urge pope leo to visit australia for first time in over a decade 

 talks are underway to bring the new pontiff down under.",politics,0.5399776101112366,0,32,catholic leaders urge pope leo to visit australia for first time in over a decade,False,32
62,murder charge laid after man found buried in backyard veggie patch a month after disappearance,"murder charge laid after man found buried in backyard veggie patch a month after disappearance 

 two people were arrested at the scene, with one now facing charges.",politics,0.5370110273361206,1,412,murder charge laid after man found buried in backyard veggie patch a month after disappearance,False,412
63,pope leo xiv holds his first mass at the sistine chapel | abc news,"pope leo xiv holds his first mass at the sistine chapel | abc news 

 nil",politics,0.5336719751358032,0,32,pope leo xiv holds his first mass at the sistine chapel | abc news,False,32
64,"state launches horse, greyhound racing review","state launches horse, greyhound racing review 

 nil",sports,0.45673123002052307,1,412,"state launches horse, greyhound racing review",False,412
65,nsw woman faces court after being charged with murder of two grandsons,"nsw woman faces court after being charged with murder of two grandsons 

 nil",politics,0.5508040189743042,1,412,nsw woman faces court after being charged with murder of two grandsons,False,412
66,fears for west coast veteran jeremy mcgovern after another concussion: ‘much bigger story’,"fears for west coast veteran jeremy mcgovern after another concussion: ‘much bigger story’ 

 ‘they’re taking it very seriously internally’.",politics,0.5385985374450684,1,412,fears for west coast veteran jeremy mcgovern after another concussion: ‘much bigger story’,False,412
67,"if the coalition sticks with nuclear, the fallout will be toxic","if the coalition sticks with nuclear, the fallout will be toxic 

 nil",politics,0.5093691349029541,1,412,"if the coalition sticks with nuclear, the fallout will be toxic",False,412
68,"man arrested after body found in sydney home, police say","man arrested after body found in sydney home, police say 

 nil",politics,0.5309985876083374,1,412,"man arrested after body found in sydney home, police say",False,412
69,"australian radio star paris pompor dies aged 58, sparking tributes for the industry legend","australian radio star paris pompor dies aged 58, sparking tributes for the industry legend 

 a number of prominent identities and organisations have paid tribute to the talented media personality.",music,0.46772027015686035,1,412,"australian radio star paris pompor dies aged 58, sparking tributes for the industry legend",False,412
70,online fame is putting these endangered geckos at risk | abc news,"online fame is putting these endangered geckos at risk | abc news 

 nil",lifestyle,0.541725754737854,1,412,online fame is putting these endangered geckos at risk | abc news,False,412
71,these fitness trends did not age well | abc news,"these fitness trends did not age well | abc news 

 nil",sports,0.4865920841693878,1,412,these fitness trends did not age well | abc news,False,412
72,world leaders gather in russia and ukraine to build relations | abc news,"world leaders gather in russia and ukraine to build relations | abc news 

 nil",politics,0.43725281953811646,1,412,world leaders gather in russia and ukraine to build relations | abc news,False,412
73,from treated to tragic: the deterioration of a killer,"from treated to tragic: the deterioration of a killer 

 nil",politics,0.5644985437393188,1,412,from treated to tragic: the deterioration of a killer,False,412
74,are the liberals shifting to maga? | abc news,"are the liberals shifting to maga? | abc news 

 nil",politics,0.4766138792037964,1,412,are the liberals shifting to maga? | abc news,False,412
75,shocking details emerge in jack doohan formula one sacking saga,"shocking details emerge in jack doohan formula one sacking saga 

 the aussie legend and his son’s girlfriend have all been rattled by the frightening ordeal.",sports,0.5053106546401978,1,412,shocking details emerge in jack doohan formula one sacking saga,False,412
76,marine life “acting unusually” and washing up dead on sa shores i abc news,"marine life “acting unusually” and washing up dead on sa shores i abc news 

 nil",lifestyle,0.5164428949356079,1,412,marine life “acting unusually” and washing up dead on sa shores i abc news,False,412
77,naomi watts’ ex liev schreiber praises transgender daughter kai and ‘profound’ moment with pronouns,"naomi watts’ ex liev schreiber praises transgender daughter kai and ‘profound’ moment with pronouns 

 naomi watts and liev schreiber’s daughter is joining her parents in the spotlight, after walking at paris fashion week.",lifestyle,0.5878440141677856,1,412,naomi watts’ ex liev schreiber praises transgender daughter kai and ‘profound’ moment with pronouns,False,412
78,"the age photos of the week, may 10, 2025","the age photos of the week, may 10, 2025 

 nil",music,0.5105468034744263,1,412,"the age photos of the week, may 10, 2025",False,412
79,menendez brothers closer to freedom as resentencing hearings set for parents’ fatal shooting,"menendez brothers closer to freedom as resentencing hearings set for parents’ fatal shooting 

 if the brothers are resentenced, they could become immediately eligible for parole.",politics,0.5408958792686462,1,412,menendez brothers closer to freedom as resentencing hearings set for parents’ fatal shooting,False,412
80,investigation launched after body found at home and man arrested,"investigation launched after body found at home and man arrested 

 a 31-year-old man was arrested at the scene.",lifestyle,0.5486574172973633,1,412,investigation launched after body found at home and man arrested,False,412
81,blasts in indian city amritsar stoke fears of widening conflict | abc news,"blasts in indian city amritsar stoke fears of widening conflict | abc news 

 nil",politics,0.47712743282318115,1,412,blasts in indian city amritsar stoke fears of widening conflict | abc news,False,412
82,dv abusers to be kicked out of homes,"dv abusers to be kicked out of homes 

 domestic violence victims will be protected in a new program that will fortify their property and kick their abusers out.",politics,0.562735378742218,1,412,dv abusers to be kicked out of homes,False,412
83,family member charged with manslaughter over 2023 death of four-week-old baby,"family member charged with manslaughter over 2023 death of four-week-old baby 

 ‘the death of an infant is tragic — where there are suspected inflicted injuries, it’s another level that is abhorrent to people.’",politics,0.5526886582374573,1,412,family member charged with manslaughter over 2023 death of four-week-old baby,False,412
84,urgent warning for popular baby product,"urgent warning for popular baby product 

 a popular baby product sold at baby bunting has been recalled over safety fears.",music,0.5680966377258301,1,412,urgent warning for popular baby product,False,412
85,"don’t bin it, compost it: a beginner’s guide to smarter food waste","don’t bin it, compost it: a beginner’s guide to smarter food waste 

 nil",lifestyle,0.5391790270805359,1,412,"don’t bin it, compost it: a beginner’s guide to smarter food waste",False,412
86,‘deal with the women’s issue or enjoy oblivion’: conservative women on whether they can still call the liberal party home,"‘deal with the women’s issue or enjoy oblivion’: conservative women on whether they can still call the liberal party home 

 nil",politics,0.48884332180023193,1,412,‘deal with the women’s issue or enjoy oblivion’: conservative women on whether they can still call the liberal party home,False,412
87,"after teal wave of 2022, there was no ‘sophomore surge’. where to from here for the independents?","after teal wave of 2022, there was no ‘sophomore surge’. where to from here for the independents? 

 nil",politics,0.5556389093399048,1,412,"after teal wave of 2022, there was no ‘sophomore surge’. where to from here for the independents?",False,412
88,"almost half of victorian male inmates have a brain injury. for michael, diagnosis was the first step to a new life","almost half of victorian male inmates have a brain injury. for michael, diagnosis was the first step to a new life 

 nil",politics,0.569256603717804,1,412,"almost half of victorian male inmates have a brain injury. for michael, diagnosis was the first step to a new life",False,412
89,‘a lot of pride and joy’: the first nations team representing australia at the venice biennale of architecture,"‘a lot of pride and joy’: the first nations team representing australia at the venice biennale of architecture 

 nil",sports,0.5132860541343689,1,412,‘a lot of pride and joy’: the first nations team representing australia at the venice biennale of architecture,False,412
90,st kilda coach ross lyon drops three-word zinger when quizzed about sore star nasiah wanganeen-milera,"st kilda coach ross lyon drops three-word zinger when quizzed about sore star nasiah wanganeen-milera 

 the ‘hard-arse’ coach saved his best for last as he exited the press-room.",sports,0.5238819122314453,1,412,st kilda coach ross lyon drops three-word zinger when quizzed about sore star nasiah wanganeen-milera,False,412
91,drones and blasts spark fears as india–pakistan clashes intensify,"drones and blasts spark fears as india–pakistan clashes intensify 

 explosions across kashmir and amritsar stir fears of a broader conflict.",politics,0.4676663875579834,1,412,drones and blasts spark fears as india–pakistan clashes intensify,False,412
92,the impact of chinese australian voters this federal election | asia news week | abc news,"the impact of chinese australian voters this federal election | asia news week | abc news 

 nil",politics,0.43437159061431885,1,412,the impact of chinese australian voters this federal election | asia news week | abc news,True,1412
93,"poignant tribute to life of ‘gentle, humble’ former pow","poignant tribute to life of ‘gentle, humble’ former pow 

 nil",lifestyle,0.569571852684021,1,412,"poignant tribute to life of ‘gentle, humble’ former pow",False,412
94,justin bieber calls himself a 'selfish' person in cryptic post,"justin bieber calls himself a 'selfish' person in cryptic post 

 the pop star has described his desire to be ""free"" and ""honest"" with others.",music,0.5082665085792542,1,412,justin bieber calls himself a 'selfish' person in cryptic post,False,412
95,grandmother charged with murder of her two young grandsons | abc news,"grandmother charged with murder of her two young grandsons | abc news 

 nil",politics,0.5550177097320557,1,412,grandmother charged with murder of her two young grandsons | abc news,False,412
96,who stole my recipe? maehashi and bellamy must realise they’re already cooked,"who stole my recipe? maehashi and bellamy must realise they’re already cooked 

 nil",lifestyle,0.6392024755477905,1,412,who stole my recipe? maehashi and bellamy must realise they’re already cooked,True,1412
97,"around 30,000 australians diagnosed with younger onset dementia | 9 news australia","around 30,000 australians diagnosed with younger onset dementia | 9 news australia 

 nil",politics,0.5362275838851929,1,412,"around 30,000 australians diagnosed with younger onset dementia | 9 news australia",False,412
98,mixed day for aussies in giro d’italia with jay vine fighting back after nasty crash,"mixed day for aussies in giro d’italia with jay vine fighting back after nasty crash 

 the bodies went flying and one rider was taken away in a stretcher with serious injuries.",sports,0.4920418858528137,1,412,mixed day for aussies in giro d’italia with jay vine fighting back after nasty crash,False,412
99,why this major carmaker thinks in-car screens have reached their peak,"why this major carmaker thinks in-car screens have reached their peak 

 modern cars are getting larger screens, and more of them, but hyundai's chief creative officer thinks this trend won't last.",music,0.5434128046035767,1,412,why this major carmaker thinks in-car screens have reached their peak,False,412
100,audi cost cutting could see it sell italdesign - report,"audi cost cutting could see it sell italdesign - report 

 the company behind automotive icons, such as the volkswagen golf, fiat uno, bmw m1 and dmc delorean, could be sold by audi.",music,0.5355744361877441,1,412,audi cost cutting could see it sell italdesign - report,False,412
101,how bunnings crushed its competitors | abc news daily podcast,"how bunnings crushed its competitors | abc news daily podcast 

 nil",finance,0.5285182595252991,1,412,how bunnings crushed its competitors | abc news daily podcast,False,412
102,no more war': pope leo xiv's first message as pontiff,"no more war': pope leo xiv's first message as pontiff 

 nil",politics,0.5153167247772217,0,32,no more war': pope leo xiv's first message as pontiff,True,1032
103,posh sydney suburb rocked by eshay brawl at beloved fireworks fundraiser,"posh sydney suburb rocked by eshay brawl at beloved fireworks fundraiser 

 a beloved annual family fundraiser in an exclusive sydney enclave erupted in chaos after an ugly brawl involving a mob of foul-mouthed ‘eshays’.",sports,0.5199341773986816,1,412,posh sydney suburb rocked by eshay brawl at beloved fireworks fundraiser,False,412
104,aussies break national 4x400m mixed relay record to win silver medal at world relay championships,"aussies break national 4x400m mixed relay record to win silver medal at world relay championships 

 ‘we are just so happy.’",sports,0.49335479736328125,1,412,aussies break national 4x400m mixed relay record to win silver medal at world relay championships,False,412
105,coaches split on afl regular-season extra time,"coaches split on afl regular-season extra time 

 the coach of defending afl premiers brisbane has called for regular-season extra time to add more drama to the game after a tense draw with the lowly kangaroos.",sports,0.5023703575134277,1,412,coaches split on afl regular-season extra time,False,412
106,donald trump slammed over gift of $620 million jet from qatar,"donald trump slammed over gift of $620 million jet from qatar 

 ‘it’s not just bribery, it’s premium foreign influence with extra legroom.’",politics,0.4934898018836975,1,412,donald trump slammed over gift of $620 million jet from qatar,False,412
107,"best-selling dyson airwrap is over $100 off on amazon australia, don't miss this deal on the best blow-out","best-selling dyson airwrap is over $100 off on amazon australia, don't miss this deal on the best blow-out 

 it’s the hair tool that tiktok can’t get enough of.",music,0.5922591090202332,1,412,"best-selling dyson airwrap is over $100 off on amazon australia, don't miss this deal on the best blow-out",False,412
108,pope leo pleads for ‘no more war’ in first sunday message at vatican | abc news,"pope leo pleads for ‘no more war’ in first sunday message at vatican | abc news 

 nil",politics,0.5145504474639893,0,32,pope leo pleads for ‘no more war’ in first sunday message at vatican | abc news,True,1032
109,canberra hospital study finds therapy dogs help reduce pain and anxiety in intensive care | abc news,"canberra hospital study finds therapy dogs help reduce pain and anxiety in intensive care | abc news 

 nil",lifestyle,0.5707381367683411,1,412,canberra hospital study finds therapy dogs help reduce pain and anxiety in intensive care | abc news,True,1412
110,"labor to announce frontbench + mother killed in fatal collision in trafalgar, victoria | abc news","labor to announce frontbench + mother killed in fatal collision in trafalgar, victoria | abc news 

 nil",politics,0.4973289370536804,1,412,"labor to announce frontbench + mother killed in fatal collision in trafalgar, victoria | abc news",False,412
111,wa news live: matildas returning to wa,"wa news live: matildas returning to wa 

 nil",sports,0.47254839539527893,1,412,wa news live: matildas returning to wa,False,412
112,"click frenzy returns with epic mayhem sale this may: score huge savings across fashion, beauty, tech and more","click frenzy returns with epic mayhem sale this may: score huge savings across fashion, beauty, tech and more 

 the three-day sale is your chance to snap up some epic deals across tech, homewares, fashion and beauty.",music,0.5007450580596924,1,412,"click frenzy returns with epic mayhem sale this may: score huge savings across fashion, beauty, tech and more",False,412
113,"british woman scammed out of $22,800 after being tricked into believing she was in a relationship with dr chris brown","british woman scammed out of $22,800 after being tricked into believing she was in a relationship with dr chris brown 

 ‘he told me he loved me and wanted us to marry.’",music,0.544862687587738,1,412,"british woman scammed out of $22,800 after being tricked into believing she was in a relationship with dr chris brown",False,412
114,matt canavan running for nationals leader,"matt canavan running for nationals leader 

 nil",politics,0.46305137872695923,1,412,matt canavan running for nationals leader,False,412
115,two people killed in fatal crash 20km from melbourne cbd,"two people killed in fatal crash 20km from melbourne cbd 

 nil",sports,0.533441424369812,1,412,two people killed in fatal crash 20km from melbourne cbd,False,412
116,after losing his fingers and toes this 85yo found a way to keep rock climbing | abc news,"after losing his fingers and toes this 85yo found a way to keep rock climbing | abc news 

 nil",sports,0.547650933265686,1,412,after losing his fingers and toes this 85yo found a way to keep rock climbing | abc news,False,412
117,mother’s day horror: teens mourn mum from hospital as five killed in road tragedies,"mother’s day horror: teens mourn mum from hospital as five killed in road tragedies 

 nil",music,0.5288933515548706,1,412,mother’s day horror: teens mourn mum from hospital as five killed in road tragedies,False,412
118,"putin proposes direct peace talks, zelensky cautious","putin proposes direct peace talks, zelensky cautious 

 nil",politics,0.47031959891319275,1,412,"putin proposes direct peace talks, zelensky cautious",False,412
119,pope leo’s brother speaks exclusively with nine news | 9 news australia,"pope leo’s brother speaks exclusively with nine news | 9 news australia 

 nil",politics,0.48380690813064575,0,32,pope leo’s brother speaks exclusively with nine news | 9 news australia,False,32
120,keep your hair hydrated and shiny all winter long: 6 best haircare products from amazon australia,"keep your hair hydrated and shiny all winter long: 6 best haircare products from amazon australia 

 ‘better than any high-end salon conditioner i’ve used.’",lifestyle,0.5373682975769043,1,412,keep your hair hydrated and shiny all winter long: 6 best haircare products from amazon australia,False,412
121,chinese brand apologies to buyers after halving ev's power via remote update,"chinese brand apologies to buyers after halving ev's power via remote update 

 chinese brand xiaomi says sorry to customers after it limited the performance of its ev super sedan via ota updates without telling them.",sports,0.5906178951263428,1,412,chinese brand apologies to buyers after halving ev's power via remote update,False,412
122,pope leo vs china,"pope leo vs china 

 nil",politics,0.5416253805160522,0,32,pope leo vs china,False,32
