Date Scraped,Title,news_summary,news_card_image,Date Published,Link,Publication,Author,text,id,predicted_category,similarity,cluster,cluster_size
2025-05-12,melbourne man dies after jumping off boat in thailand,nil,"https://static.ffx.io/images/$width_800,$height_450/t_crop_fill/q_86,f_jpg/6d81f606385967719d65b9e8611b10ff858d6cdf",10/05/2025,https://www.smh.com.au/national/melbourne-man-dies-after-jumping-off-boat-in-thailand-20250510-p5ly52.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,nil,"melbourne man dies after jumping off boat in thailand 

 ",22,lifestyle,0.512499988079071,1,412
2025-05-12,moment gold coast arsonist lights van on fire,nil,"https://static.ffx.io/images/$width_800,$height_450/t_crop_fill/q_86,f_jpg/a8d89224dc1a258ad1956c6885f138629c680462",10/05/2025,https://www.smh.com.au/national/moment-gold-coast-arsonist-lights-van-on-fire-20250510-p5ly54.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,nil,"moment gold coast arsonist lights van on fire 

 ",23,sports,0.5464203357696533,1,412
2025-05-12,methanol poisoning survivor’s call for change,nil,"https://static.ffx.io/images/$width_800,$height_450/t_crop_fill/q_86,f_jpg/6a6f93dbdd03eb4888da7c548ef520e34f6cc7d8",10/05/2025,https://www.smh.com.au/national/methanol-poisoning-survivor-s-call-for-change-20250510-p5ly53.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,nil,"methanol poisoning survivor’s call for change 

 ",24,politics,0.5405999422073364,1,412
2025-05-12,coalition powerbrokers prepare for leadership contests | 9 news australia,nil,,10/05/2025,https://www.youtube.com/watch?v=ZAAzKYyGME0,9news australia,9 news australia,"coalition powerbrokers prepare for leadership contests | 9 news australia 

 ",25,politics,0.3947102427482605,1,412
2025-05-12,man charged with murder after man’s death in sydney | 9 news australia,nil,,10/05/2025,https://www.youtube.com/watch?v=EBxYrXzXgdc,9news australia,9 news australia,"man charged with murder after man’s death in sydney | 9 news australia 

 ",26,politics,0.5126471519470215,1,412
2025-05-12,michael mosley’s son jack gives rare insight into his father almost one year since his tragic death in greece,"mosley died on the greek island of symi, after an ill-fated walk.",https://images.7news.com.au/publication/C-18648074/8004b58e694bf42db33995a037bb7613451bbc98-16x9-x0y0w1304h734.jpg,10/05/2025,https://7news.com.au/sunrise/michael-mosleys-son-jack-gives-rare-insight-into-his-father-almost-one-year-since-his-tragic-death-in-greece--c-18648074,7news.com.au,caleb taylor,"michael mosley’s son jack gives rare insight into his father almost one year since his tragic death in greece 

 mosley died on the greek island of symi, after an ill-fated walk.",27,music,0.561845064163208,1,412
2025-05-12,jaeman salmon reignites feud with ricky stuart after ‘weak-gutted dog’ celebration during bulldogs’ win over raiders,the long-running stoush exploded again during the top-of-the-table clash.,https://images.7news.com.au/publication/C-18648092/61ce8a943f1909458d49f82295f9cbacad200a51-16x9-x0y2w1280h720.jpg,10/05/2025,https://7news.com.au/sport/rugby-league/jaeman-salmon-reignites-feud-with-ricky-stuart-after-weak-gutted-dog-celebration-during-bulldogs-win-over-raiders-c-18648092,7news.com.au,ben sutton,"jaeman salmon reignites feud with ricky stuart after ‘weak-gutted dog’ celebration during bulldogs’ win over raiders 

 the long-running stoush exploded again during the top-of-the-table clash.",28,sports,0.5169360637664795,1,412
2025-05-12,chicago's catholics celebrate north america's first pope | abc news,nil,,10/05/2025,https://www.youtube.com/watch?v=LYXKYQNA2Vs,abc news (australia),abc news (australia),"chicago's catholics celebrate north america's first pope | abc news 

 ",29,politics,0.5121967792510986,0,32
2025-05-12,man charged with murder after man’s death in sydney,nil,"https://static.ffx.io/images/$width_800,$height_450/t_crop_fill/q_86,f_jpg/f9e141750695c8d9ae73a749e706702bfdc49fa5",10/05/2025,https://www.smh.com.au/national/man-charged-with-murder-after-man-s-death-in-sydney-20250510-p5ly50.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,nil,"man charged with murder after man’s death in sydney 

 ",30,politics,0.5381888151168823,1,412
2025-05-12,pope leo xiv delivers first sermon as the catholic church's new leader | 9 news australia,nil,,10/05/2025,https://www.youtube.com/watch?v=228AboXASyA,9news australia,9 news australia,"pope leo xiv delivers first sermon as the catholic church's new leader | 9 news australia 

 ",31,politics,0.4820205569267273,0,32
2025-05-12,gunman on the run after drive-by shooting in sydney | 9 news australia,nil,,10/05/2025,https://www.youtube.com/watch?v=DkEgwC7fp4I,9news australia,9 news australia,"gunman on the run after drive-by shooting in sydney | 9 news australia 

 ",32,sports,0.4884704351425171,1,412
2025-05-12,pakistan retaliates after indian missile strikes | 9 news australia,nil,,10/05/2025,https://www.youtube.com/watch?v=uC6YLMEpfW8,9news australia,9 news australia,"pakistan retaliates after indian missile strikes | 9 news australia 

 ",33,politics,0.47424986958503723,1,412
2025-05-12,four teens arrested over string of alleged carjackings in melbourne,nil,"https://static.ffx.io/images/$width_800,$height_450/t_crop_fill/q_86,f_jpg/eb492b3cadf603407f4623ecf4fbc1b0aeaf8133",10/05/2025,https://www.smh.com.au/national/four-teens-arrested-over-string-of-alleged-carjackings-in-melbourne-20250510-p5ly4u.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,nil,"four teens arrested over string of alleged carjackings in melbourne 

 ",34,politics,0.5510873794555664,1,412
2025-05-12,gunman on the run after shooting in sydney,nil,"https://static.ffx.io/images/$width_800,$height_450/t_crop_fill/q_86,f_jpg/5250dac14cec4047c0c5581148adc80ccb836d32",10/05/2025,https://www.smh.com.au/national/gunman-on-the-run-after-shooting-in-sydney-20250510-p5ly4v.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,nil,"gunman on the run after shooting in sydney 

 ",35,sports,0.5026443004608154,1,412
2025-05-12,coalition powerbrokers prepare for leadership contests,nil,"https://static.ffx.io/images/$width_800,$height_450/t_crop_fill/q_86,f_jpg/685797263ce8e10ab32aa9509198fb27e9cbd25d",10/05/2025,https://www.smh.com.au/national/coalition-powerbrokers-prepare-for-leadership-contests-20250510-p5ly4t.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,nil,"coalition powerbrokers prepare for leadership contests 

 ",36,politics,0.3947518467903137,1,412
2025-05-12,thousands rally against gender-based violence,nil,"https://static.ffx.io/images/$width_800,$height_450/t_crop_fill/q_86,f_jpg/6ed288b03920dd31f7226de61bd6943e3fe7347f",10/05/2025,https://www.smh.com.au/national/thousands-rally-against-gender-based-violence-20250510-p5ly4w.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,nil,"thousands rally against gender-based violence 

 ",37,politics,0.47680187225341797,1,412
2025-05-12,world war ii hero honoured in military state funeral | 9 news australia,nil,,10/05/2025,https://www.youtube.com/watch?v=gxvaIFtU0cg,9news australia,9 news australia,"world war ii hero honoured in military state funeral | 9 news australia 

 ",38,politics,0.5016745328903198,1,412
2025-05-12,india-pakistan latest; pope leo xiv delivers first mass | 9 news australia,nil,,10/05/2025,https://www.youtube.com/watch?v=XOeZH7kQEFM,9news australia,9 news australia,"india-pakistan latest; pope leo xiv delivers first mass | 9 news australia 

 ",39,politics,0.45589762926101685,0,32
2025-05-12,judge temporarily blocks trump and musk’s administration overhaul,‘the president may broadly restructure federal agencies only when authorised by congress’,https://images.7news.com.au/publication/C-18647933/ec333dca36a3a9334aac859e092733bc45a32a3a-16x9-x0y209w4000h2250.jpg,10/05/2025,https://7news.com.au/news/judge-temporarily-blocks-trump-and-musks-administration-overhaul-c-18647933,7news.com.au,tom hals and kanishka singh,"judge temporarily blocks trump and musk’s administration overhaul 

 ‘the president may broadly restructure federal agencies only when authorised by congress’",40,politics,0.4779513478279114,1,412
2025-05-12,putin marks ww2 victory alongside xi as ukraine war continues | abc news,nil,,10/05/2025,https://www.youtube.com/watch?v=3oSgaL5MsE8,abc news (australia),abc news (australia),"putin marks ww2 victory alongside xi as ukraine war continues | abc news 

 ",41,politics,0.46674150228500366,1,412
2025-05-12,thousands join military procession for funeral of western australia's last wwii pow,nil,"https://static.ffx.io/images/$width_800,$height_450/t_crop_fill/q_86,f_jpg/6dad6cfe89312b998617d85ba72899d63984fd6d",10/05/2025,https://www.smh.com.au/national/thousands-join-military-procession-for-funeral-of-western-australias-last-wwii-pow-20250510-p5ly4r.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,nil,"thousands join military procession for funeral of western australia's last wwii pow 

 ",42,politics,0.5428398847579956,1,412
2025-05-12,former socceroos boss graham arnold announced as new coach of iraq,it’s the 61-year-old’s first job since quitting as australia coach last september.,https://images.7news.com.au/publication/C-18647723/8b882505aa7e9037b80acf2bebc6692b64b762f3-16x9-x0y2w1280h720.jpg,10/05/2025,https://7news.com.au/sport/soccer/former-socceroos-boss-graham-arnold-announced-as-new-coach-of-iraq-c-18647723,7news.com.au,ian chadband,"former socceroos boss graham arnold announced as new coach of iraq 

 it’s the 61-year-old’s first job since quitting as australia coach last september.",43,sports,0.5218244791030884,1,412
2025-05-12,catholics speculate as to how pope leo xiv will lead the church | abc news,nil,,10/05/2025,https://www.youtube.com/watch?v=bJWL6sqwo0M,abc news (australia),abc news (australia),"catholics speculate as to how pope leo xiv will lead the church | abc news 

 ",44,politics,0.48143941164016724,0,32
2025-05-12,petals of love: three million blooms for mums this mother’s day,nil,"https://static.ffx.io/images/$zoom_0.29478768518518517,$multiply_0.7554,$ratio_1.777778,$width_1059,$x_53,$y_153/t_crop_custom/q_86,f_auto/f3e10746cd2bf3eed2d46834171ee529699d383b",10/05/2025,https://www.smh.com.au/national/victoria/petals-of-love-three-million-blooms-for-mums-this-mother-s-day-20250507-p5lxcp.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,madeleine heffernan,"petals of love: three million blooms for mums this mother’s day 

 ",45,music,0.5081098675727844,1,412
2025-05-12,brendan fevola and guy sebastian inspire struggling local team masala dandenong to stunning win,the afl great teamed up with an aussie pop star to help a struggling team end their 20-game losing streak.,https://images.7news.com.au/publication/C-18647335/8c801aa55f29d022594b525217a6a04b0fb28f36-16x9-x0y0w1280h720.jpg,10/05/2025,https://7news.com.au/sport/afl/brendan-fevola-and-guy-sebastian-inspire-struggling-local-team-masala-dandenong-to-stunning-win-c-18647335,7news.com.au,ben sutton,"brendan fevola and guy sebastian inspire struggling local team masala dandenong to stunning win 

 the afl great teamed up with an aussie pop star to help a struggling team end their 20-game losing streak.",46,sports,0.48666274547576904,1,412
2025-05-12,"no phones, lots of prayer: australian cardinal’s insight into secretive vatican conclave",nil,https://i.guim.co.uk/img/media/f288ffeecbe104b6ad802d0a2919d1b7a7da6198/0_0_6770_5416/master/6770.jpg?width=460&amp;quality=85&amp;auto=format&amp;fit=max&amp;s=0d0e9ecfd04188facd666639bcbbf81a,10/05/2025,https://www.theguardian.com/world/2025/may/10/no-phones-lots-of-prayer-australian-cardinals-insight-into-secretive-vatican-conclave,australia news | the guardian,australian associated press,"no phones, lots of prayer: australian cardinal’s insight into secretive vatican conclave 

 ",47,politics,0.5058118104934692,0,32
2025-05-12,women's wheelchair basketball faces uphill battle to qualify for 2032 paralympics | abc news,nil,,10/05/2025,https://www.youtube.com/watch?v=zP6bG87wuHU,abc news (australia),abc news (australia),"women's wheelchair basketball faces uphill battle to qualify for 2032 paralympics | abc news 

 ",48,sports,0.4673053026199341,1,412
2025-05-12,toxic algal bloom impacts multiple beaches across south australia | abc news,nil,,10/05/2025,https://www.youtube.com/watch?v=9GcY0Zmn5io,abc news (australia),abc news (australia),"toxic algal bloom impacts multiple beaches across south australia | abc news 

 ",49,lifestyle,0.497733473777771,1,412
2025-05-12,aussie broadcaster erin holland forced to flee to dubai after being caught up in india-pakistan conflict,the cricket commentator is now waiting to come back to australia.,https://images.7news.com.au/publication/C-18647221/4eae5961276ff46f6a59853ef7a473ed2840e9d7-16x9-x0y0w1304h734.jpg,10/05/2025,https://7news.com.au/sunrise/aussie-broadcaster-erin-holland-forced-to-flee-to-dubai-after-being-caught-up-in-india-pakistan-conflict-c-18647221,7news.com.au,caleb taylor,"aussie broadcaster erin holland forced to flee to dubai after being caught up in india-pakistan conflict 

 the cricket commentator is now waiting to come back to australia.",50,sports,0.48738235235214233,1,412
2025-05-12,sa mp nick mcbride appears in court over assault charges | abc news,nil,,10/05/2025,https://www.youtube.com/watch?v=tbduhYxISes,abc news (australia),abc news (australia),"sa mp nick mcbride appears in court over assault charges | abc news 

 ",51,sports,0.4945269525051117,1,412
2025-05-12,pakistan launches retaliatory strikes against india as tensions rise | abc news,nil,,10/05/2025,https://www.youtube.com/watch?v=RxY5mWAH1NE,abc news (australia),abc news (australia),"pakistan launches retaliatory strikes against india as tensions rise | abc news 

 ",52,politics,0.4543290138244629,1,412
2025-05-12,"‘dumb, nasty’: mps unload on deputy pm",anthony albanese and his deputy richard marles have come under fire following the “nasty” treatment of two cabinet ministers.,https://content.api.news/v3/images/bin/92496c99071d445881897c5199e2548b?width=320,10/05/2025,https://www.news.com.au/finance/work/leaders/dumb-nasty-uproar-after-labor-bloodbath-mps-unload-on-albanese-marles/news-story/96337ffc2ecd125cd660b3e6abd01878?from=rss-basic,rss news.com.au — australia’s #1 news site | national news,nil,"‘dumb, nasty’: mps unload on deputy pm 

 anthony albanese and his deputy richard marles have come under fire following the “nasty” treatment of two cabinet ministers.",53,politics,0.5299544334411621,1,412
2025-05-12,iconic radio host dies aged 58,legendary aussie community radio and music scene presenter paris pompor has died aged 58.,https://content.api.news/v3/images/bin/8a6dbb63034e6729fbc0acd0c49a21bf?width=320,10/05/2025,https://www.news.com.au/entertainment/celebrity-life/celebrity-deaths/vale-paris-pompor-local-radio-legend-dies-aged-58/news-story/1e8e32fc4b9e8fbf7f6b503e1ee509b7?from=rss-basic,rss news.com.au — australia’s #1 news site | national news,nil,"iconic radio host dies aged 58 

 legendary aussie community radio and music scene presenter paris pompor has died aged 58.",54,music,0.4744083881378174,1,412
2025-05-12,i want men to stop killing women' | abc news,nil,,10/05/2025,https://www.youtube.com/watch?v=nXGfAlx4d9w,abc news (australia),abc news (australia),"i want men to stop killing women' | abc news 

 ",55,politics,0.4829367399215698,1,412
2025-05-12,‘no more’: protests rise against dv,protesters are flooding capital cities across the nation demanding action to prevent domestic and family violence.,https://content.api.news/v3/images/bin/926f8b1fb99494262a36fbb84f956a7b?width=320,10/05/2025,https://www.news.com.au/national/no-more-national-rallies-against-violence-taking-place-across-australia/news-story/214ae4b5d958c76bc381a946647f1c85?from=rss-basic,rss news.com.au — australia’s #1 news site | national news,nil,"‘no more’: protests rise against dv 

 protesters are flooding capital cities across the nation demanding action to prevent domestic and family violence.",56,politics,0.512782633304596,1,412
2025-05-12,melbourne coaches slammed as clayton oliver becomes a tagger in clash with hawthorn,‘just saw this and spat my coffee out.’,https://images.7news.com.au/publication/C-18646811/f9ec2e0171f89f6210afb184042080df66403f99-16x9-x0y0w1304h734.jpg,10/05/2025,https://7news.com.au/sport/afl/melbourn-coaches-slammed-as-clayton-oliver-becomes-a-tagger-in-clash-with-hawthorn-c-18646811,7news.com.au,cameron noakes,"melbourne coaches slammed as clayton oliver becomes a tagger in clash with hawthorn 

 ‘just saw this and spat my coffee out.’",57,sports,0.5291235446929932,1,412
2025-05-12,pope leo xiv’s close friend shares cheeky little-known story and praises his humility,father tony banks reveals a surprising side of the pontiff.,https://images.7news.com.au/publication/C-18646679/56cf95547b016c6856aa3a9b402b0510e8b94a78-16x9-x0y0w1304h734.jpg,10/05/2025,https://7news.com.au/sunrise/pope-leo-xivs-close-friend-shares-cheeky-little-known-story-and-praises-his-humility-c-18646679,7news.com.au,caleb taylor,"pope leo xiv’s close friend shares cheeky little-known story and praises his humility 

 father tony banks reveals a surprising side of the pontiff.",58,politics,0.5678773522377014,0,32
2025-05-12,international agencies criticise new us aid plan for gaza | abc news,nil,,10/05/2025,https://www.youtube.com/watch?v=MskMXEhACbY,abc news (australia),abc news (australia),"international agencies criticise new us aid plan for gaza | abc news 

 ",59,politics,0.469049334526062,1,412
2025-05-12,first nations voters on the election result | abc news,nil,,10/05/2025,https://www.youtube.com/watch?v=JpIiqTVnYrg,abc news (australia),abc news (australia),"first nations voters on the election result | abc news 

 ",60,politics,0.4364273250102997,1,412
2025-05-12,catholic leaders urge pope leo to visit australia for first time in over a decade,talks are underway to bring the new pontiff down under.,https://images.7news.com.au/publication/C-18646182/bc315d46845fdd360b125f1bc778464bdf133914-16x9-x0y0w1280h720.jpg,10/05/2025,https://7news.com.au/news/catholic-leaders-urge-pope-leo-to-visit-australia-for-first-time-in-over-a-decade-c-18646182,7news.com.au,sam mckeith,"catholic leaders urge pope leo to visit australia for first time in over a decade 

 talks are underway to bring the new pontiff down under.",61,politics,0.5399776101112366,0,32
2025-05-12,murder charge laid after man found buried in backyard veggie patch a month after disappearance,"two people were arrested at the scene, with one now facing charges.",https://images.7news.com.au/publication/C-18646539/32e8f980c91b741191b307a3a94c8b8bd40bd47b-16x9-x0y0w1280h720.png,10/05/2025,https://7news.com.au/news/murder-charge-laid-after-man-found-buried-in-backyard-veggie-patch-a-month-after-disappearance-c-18646539,7news.com.au,demi huang,"murder charge laid after man found buried in backyard veggie patch a month after disappearance 

 two people were arrested at the scene, with one now facing charges.",62,politics,0.5370110273361206,1,412
